customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3819,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,1833,0
2812,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1074,0
1799,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,116,1
3938,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1021,0
4640,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,666,1
4668,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,4394,1
713,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1140,0
3379,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,1910,0
3987,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,1937,1
3215,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,2210,0
4884,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,3479,0
3753,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,2084,0
4082,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,3387,0
127,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,3084,1
2554,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,1715,0
1792,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,4288,0
4134,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,33,0
4982,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,4121,0
2068,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,3188,1
2063,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1045,0
4417,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,2423,1
810,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,1215,0
518,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1182,1
1784,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,2221,0
3180,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,1877,0
3452,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,694,0
3249,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,2902,1
4360,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,1894,1
